investigation_rank,work_id,state,constituency,final_ai_risk_score,final_ai_risk_level,risk_detection_confidence,active_risk_engines,available_risk_engines,primary_risk_source,detecting_engines,investigation_priority_score,investigation_priority_category,report_status,report_file,grounded_llm_investigation_report
11,WS/MP18248/2024-2025/150128,West Bengal,BARDHAMAN PURBA(SC),84.43,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18248_2024-2025_150128.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198744, Requested 1998. Please try again in 5m20.544s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
12,WS/MP484/2024-2025/150090,West Bengal,KOLKATA DAKSHIN,81.64,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP484_2024-2025_150090.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198743, Requested 2015. Please try again in 5m27.456s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
13,WS/MP18277/2025-2026/149810,West Bengal,BARDHAMAN-DURGAPUR,81.21,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18277_2025-2026_149810.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198741, Requested 2016. Please try again in 5m27.024s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
14,WS/MP18249/2025-2026/153603,West Bengal,BARRACKPUR,80.01,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18249_2025-2026_153603.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198740, Requested 2017. Please try again in 5m27.024s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
15,WS/MP18152/2024-2025/141888,Punjab,FARIDKOT(SC),79.37,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18152_2024-2025_141888.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198739, Requested 2065. Please try again in 5m47.328s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
16,WS/MP18272/2024-2025/136068,West Bengal,JHARGRAM(ST),79.21,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18272_2024-2025_136068.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198737, Requested 2017. Please try again in 5m25.728s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
17,WS/MP743/2025-2026/142092,Tamil Nadu,KANCHEEPURAM(SC),78.08,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP743_2025-2026_142092.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198736, Requested 1903. Please try again in 4m36.048s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
18,WS/MP352/2025-2026/135862,Kerala,ERNAKULAM,76.07,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP352_2025-2026_135862.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198735, Requested 2029. Please try again in 5m30.048s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
19,WS/MP18249/2025-2026/153601,West Bengal,BARRACKPUR,75.39,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18249_2025-2026_153601.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198734, Requested 1886. Please try again in 4m27.839999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
20,WS/MP243/2025-2026/141109,West Bengal,BARASAT,75.0,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP243_2025-2026_141109.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198732, Requested 1978. Please try again in 5m6.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
