work_id,final_ai_risk_score,final_ai_risk_level,risk_detection_confidence,primary_risk_source,llm_explanation
WS/MP18355/2025-2026/158359,80.15,CRITICAL,VERY HIGH,Statistical Anomaly Engine,"**EXECUTIVE SUMMARY**  
The AI risk system flagged the Yoga Center construction project as critical due to a combination of high expenditure relative to typical projects, an unusually concentrated payment pattern to a single vendor, and multiple statistical outliers. These signals suggest a potential anomaly that warrants further verification.  

**KEY RISK INDICATORS**  
- Project expenditure in the top 0.5 % of all projects.  
- Extremely high number of payment transactions (4) for a single vendor.  
- Multiple independent statistical anomalies detected.  

**WHY THE PROJECT WAS FLAGGED**  
The AI risk engine identified the project as a statistical anomaly because its total expenditure (₹2,999,973) is among the highest 0.5 % of all projects, and the payment structure shows an unusually high concentration: all four payments were made to one vendor. The combination of a high financial outlier and a concentrated payment pattern triggered the statistical anomaly engine, resulting in a critical risk score of 65 and an overall critical risk level.  

**FINANCIAL OBSERVATIONS**  
- The recommended amount (₹3,000,000) and actual expenditure (₹2,999,973) are almost identical, indicating a tight budget.  
- The project is classified as a medium‑level financial risk because it falls within the top 1 % of expenditures, but no sanction amount is available for comparison.  
- The single vendor received all four payments, which is atypical for projects of this size.  

**STATISTICAL OBSERVATIONS**  
- The expenditure is in the top 0.5 % of all projects, a strong statistical outlier.  
- The number of payment transactions (4) is unusually high for a single‑vendor arrangement.  
- The concentration of payments to one vendor is an extreme statistical anomaly.  

**ML OBSERVATIONS**  
No machine‑learning anomaly data is available for this project; the ensemble risk level and combined anomaly score are not reported.  

**RECOMMENDED INVESTIGATION**  
- Verify the legitimacy and qualifications of the sole vendor, including past performance and compliance records.  
- Review the payment schedule and contractual terms to confirm that the number and amount of transactions align with project milestones.  
- Compare this project’s financial and payment patterns with similar infrastructure projects in Karnataka to assess whether the observed anomalies are truly out of norm.  

**FINAL ASSESSMENT**  
The project exhibits several statistical outliers and a concentrated payment pattern that collectively raise a critical risk flag. While the financial risk level is medium, the statistical anomalies warrant a focused audit to confirm that the expenditure and vendor engagement are appropriate and compliant with procurement guidelines."
WS/MP18248/2024-2025/150128,80.05,CRITICAL,VERY HIGH,Statistical Anomaly Engine,"**EXECUTIVE SUMMARY:**  
The AI risk system flagged this meeting‑hall construction project as *CRITICAL* mainly because of several statistical outliers in its payment pattern and overall expenditure. While the financial risk score is moderate, the statistical anomaly engine identified multiple red‑flags that warrant a detailed audit.

**KEY RISK INDICATORS:**  
- Project expenditure ranks in the top 0.5 % of similar projects.  
- Extremely high number of payment transactions (3 payments for a single vendor).  
- Extremely high payment concentration per vendor (100 % of payments to one vendor).  

**WHY THE PROJECT WAS FLAGGED:**  
The primary risk source is the *Statistical Anomaly Engine*, which detected that the project’s total spend is unusually high compared to peers and that all payments were made to a single vendor in a very small number of transactions. These patterns are uncommon for a normal “meeting hall cum training center” project and suggest a potential anomaly that requires verification.

**FINANCIAL OBSERVATIONS:**  
- Recommended and sanctioned amounts are identical (₹3,000,000), indicating no apparent over‑budgeting at the approval stage.  
- Actual expenditure (₹2,444,263) is still within the sanctioned amount but is among the highest 1 % for projects of this type, raising a medium‑level financial risk.  
- Only one vendor supplied all goods/services, which is unusual for a project of this size.

**STATISTICAL OBSERVATIONS:**  
- The expenditure falls in the top 0.5 % of comparable projects, a strong statistical anomaly.  
- The payment count (3) is high relative to the number of vendors (1), indicating a concentrated payment pattern.  
- Multiple independent statistical anomalies were detected, reinforcing the critical risk level.

**ML OBSERVATIONS:**  
No machine‑learning anomaly data is available for this project; the ensemble risk level is not provided.

**RECOMMENDED INVESTIGATION:**  
- Verify the vendor’s credentials, contract terms, and delivery schedule against the project timeline.  
- Cross‑check the three payments against the invoice trail to ensure each payment corresponds to distinct, legitimate work milestones.  
- Compare the project’s cost structure and payment pattern with similar meeting‑hall projects in West Bengal to confirm whether the high expenditure and concentration are justified.

**FINAL ASSESSMENT:**  
The project exhibits a statistically significant outlier in expenditure and payment concentration, warranting a focused audit. While the financial risk is moderate, the statistical anomalies elevate the overall risk to a critical level. A thorough verification of vendor activity and payment justification is recommended to confirm compliance with procurement norms."
WS/MP18277/2025-2026/149810,78.95,CRITICAL,VERY HIGH,ML Anomaly Engine,"EXECUTIVE SUMMARY:  
The AI risk system flagged this community hall project as **CRITICAL** because it exhibits a combination of high financial and statistical outliers, coupled with a strong machine‑learning anomaly signal. The project’s expenditure is in the top 1 % of all projects, and the statistical anomaly score indicates it is among the highest 0.5 % of expenditures, raising a potential risk indicator that warrants verification.

KEY RISK INDICATORS:  
- Project expenditure is among the highest 1 % of all projects.  
- Project expenditure is among the highest 0.5 % of all projects.  
- Machine‑learning anomaly engine identified a high‑risk pattern.

WHY THE PROJECT WAS FLAGGED:  
The AI risk score of 78.95 is driven primarily by the ML anomaly engine, which detected a pattern that deviates from typical spending behavior for projects of this type and size. The financial risk score of 20 (medium) and the statistical anomaly score of 25 (medium) both point to unusually high spending relative to comparable projects. Together, these signals suggest a potential anomaly that requires further verification.

FINANCIAL OBSERVATIONS:  
- The recommended and sanctioned amount is ₹10,000,000, but the total expenditure to date is ₹5,758,516, which is a significant portion of the budget.  
- Only one payment has been made, and it was processed through a single vendor.  
- The concentration of spending in a single vendor and a single payment may indicate a potential risk indicator that should be verified against procurement norms.

STATISTICAL OBSERVATIONS:  
- The project’s expenditure places it in the top 0.5 % of all projects, indicating an unusual financial pattern.  
- This statistical outlier status aligns with the medium-level statistical anomaly score, reinforcing the need for verification.

ML OBSERVATIONS:  
- The primary risk source is the ML anomaly engine, which flagged the project as critical.  
- No ensemble risk level or combined anomaly score is available, but the high ML anomaly score alone is sufficient to trigger a critical flag.

RECOMMENDED INVESTIGATION:  
- Verify the procurement process for the single vendor: confirm that the vendor is registered, has a valid license, and that the contract terms match standard procurement guidelines.  
- Review the payment schedule and audit the single payment to ensure it aligns with project milestones and budget allocations.  
- Compare the project’s cost structure with similar community hall projects in West Bengal to assess whether the expenditure is justified or represents an unusual financial pattern.

FINAL ASSESSMENT:  
The project exhibits a combination of high financial and statistical outliers, along with a strong machine‑learning anomaly signal, which collectively raise a potential risk indicator. While the financial risk level is medium, the overall AI risk assessment is critical, indicating that verification and further audit are warranted to confirm compliance with standard procurement and budgeting practices."
WS/MP484/2024-2025/150090,78.78,CRITICAL,VERY HIGH,ML Anomaly Engine,"**EXECUTIVE SUMMARY:**  
The AI risk system flagged this project as critical because it exhibits a high overall risk score driven primarily by a machine‑learning anomaly detection signal. The project’s expenditure is in the top percentile of similar projects, which contributes to both financial and statistical anomaly indicators.

**KEY RISK INDICATORS:**  
- Project expenditure is among the highest 1 % of comparable projects.  
- Project expenditure is among the highest 0.5 % of comparable projects.  
- Machine‑learning anomaly engine identified a potential risk pattern.

**WHY THE PROJECT WAS FLAGGED:**  
The AI risk score of 78.78 is classified as critical, with a very high confidence level. The primary source of this score is the ML anomaly engine, which detected a pattern that deviates from typical project profiles. Additionally, the financial risk score (20) and statistical anomaly score (25) are both in the medium range, reflecting that the project’s cost is unusually high relative to its peers. The combination of a high expenditure, medium‑level financial and statistical anomalies, and a strong ML anomaly signal collectively raised the overall risk assessment.

**FINANCIAL OBSERVATIONS:**  
- The recommended, sanctioned, and total expenditure are all equal at ₹10,000,000, indicating a single‑payment structure.  
- Only one vendor is involved, with one payment made, which is a simple transaction but the amount is in the top 1 % for similar projects.  
- The financial risk level is medium, suggesting that while the cost is high, it is not yet flagged as extreme by the financial risk engine alone.

**STATISTICAL OBSERVATIONS:**  
- The statistical anomaly score of 25 (medium level) reflects that the project’s expenditure ranks in the top 0.5 % among comparable projects.  
- No other statistical factors were reported, indicating that the anomaly is primarily cost‑based.

**ML OBSERVATIONS:**  
- The ML anomaly engine is the sole active risk engine contributing to the critical risk level.  
- No ensemble or combined anomaly scores are available, but the presence of a machine‑learning flag indicates that the model detected a pattern that does not align with typical project profiles.

**RECOMMENDED INVESTIGATION:**  
- Verify the cost justification and compare it with similar educational building projects in West Bengal to confirm whether the expenditure is proportionate to scope and location.  
- Review the vendor selection process and contract terms to ensure that the single vendor arrangement is appropriate and competitive.  
- Examine the payment schedule and any subsequent financial transactions to confirm that the single payment aligns with project milestones and does not conceal additional undisclosed costs.

**FINAL ASSESSMENT:**  
The project presents a moderate financial and statistical anomaly due to its high expenditure relative to peers, and a machine‑learning anomaly signal that elevates its overall risk to a critical level. While the financial figures are internally consistent, the unusual cost profile warrants a focused audit to confirm compliance with procurement and budgeting standards."
WS/MP18249/2025-2026/153603,74.78,HIGH,VERY HIGH,ML Anomaly Engine,"**EXECUTIVE SUMMARY**  
The AI risk system flagged the Bhatpara State General Hospital project as high risk because it shows a combination of unusually high expenditure, extreme payment concentration to a single vendor, and a strong machine‑learning anomaly signal. These indicators suggest that the project may warrant closer scrutiny to ensure compliance with procurement and financial controls.

**KEY RISK INDICATORS**  
- Project expenditure among the highest 0.5 % of comparable projects.  
- Extremely high payment concentration: 100 % of payments to one vendor.  
- Machine‑learning anomaly engine identified the project as a potential risk.

**WHY THE PROJECT WAS FLAGGED**  
The AI system integrated three layers of evidence. First, the financial risk score (medium) flagged the project for being in the top 1 % of expenditures. Second, the statistical anomaly score (high) highlighted that the project’s spending is in the top 0.5 % and that all payments are concentrated with a single vendor, which is uncommon for projects of this size. Finally, the machine‑learning anomaly engine, which processes patterns across many projects, assigned a high overall risk score of 74.78 with very high confidence, indicating that the combination of these factors deviates from the norm.

**FINANCIAL OBSERVATIONS**  
- The recommended budget is ₹20 million, yet the project has already spent ₹15 million, a substantial portion of the allocated amount.  
- Only two payments have been made, both to the same vendor, suggesting a highly concentrated payment schedule.  
- The absence of a recorded sanction amount raises a potential documentation gap that may affect audit trails.

**STATISTICAL OBSERVATIONS**  
- The expenditure places the project in the top 0.5 % of all similar projects, which is statistically unusual.  
- Payment concentration is extreme: 100 % of the total payments are directed to a single vendor, whereas typical projects distribute payments across multiple vendors.  
- These patterns are flagged as high‑level statistical anomalies requiring verification.

**ML OBSERVATIONS**  
- The primary risk source is the ML anomaly engine, which has identified this project as a high‑risk anomaly.  
- Although ensemble and combined anomaly scores are not available, the high overall AI risk score and very high confidence level indicate that the machine‑learning model detected a significant deviation from learned patterns of normal project behavior.

**RECOMMENDED INVESTIGATION**  
- **Verify Vendor Credentials**: Confirm the vendor’s registration, past performance, and compliance with procurement regulations.  
- **Audit Payment Records**: Examine the two payments in detail, including invoices, delivery receipts, and approval documentation, to ensure they align with the project scope and budget.  
- **Compare with Peer Projects**: Benchmark the project’s expenditure and payment structure against similar hospital development projects in West Bengal to assess whether the high spending and concentration are justified.

**FINAL ASSESSMENT**  
The project exhibits a combination of financial, statistical, and machine‑learning signals that collectively raise a high‑risk flag. While the data do not indicate wrongdoing, the patterns warrant a thorough audit to confirm that all procurement and financial procedures have been properly followed and that the expenditure aligns with the project’s objectives."
WS/MP18272/2024-2025/136068,74.41,HIGH,VERY HIGH,ML Anomaly Engine,"**EXECUTIVE SUMMARY**  
The project was flagged because its total expenditure is in the top 0.5 % of similar projects, all payments are concentrated with a single vendor, and the AI risk engine identified a high anomaly score. These signals together indicate a potential risk that requires verification.

**KEY RISK INDICATORS**  
- Project expenditure among the highest 0.5 % of comparable works.  
- Extremely high payment concentration: 100 % of payments to one vendor.  
- High AI risk score (74.41) with very high confidence, driven by the ML anomaly engine.

**WHY THE PROJECT WAS FLAGGED**  
The AI system combined several risk signals:  
1. **Financial risk** – the expenditure is in the top 1 % of projects, suggesting an unusually large budget.  
2. **Statistical anomaly** – the project’s cost ranks in the top 0.5 % and all payments are made to a single vendor, a pattern that deviates from typical distribution across multiple suppliers.  
3. **Machine‑learning anomaly** – the ML anomaly engine flagged the case as a high‑risk anomaly, reinforcing the statistical findings.  
These overlapping indicators raise a possible risk that the procurement and payment process may not follow standard practices.

**FINANCIAL OBSERVATIONS**  
- The recommended, sanctioned, and spent amounts are identical, indicating no cost overruns.  
- Only one vendor supplied the entire project, with two payments covering the full amount.  
- The single‑vendor concentration is an unusual financial pattern for a normal/others category project of this size.

**STATISTICAL OBSERVATIONS**  
- The project’s cost places it in the top 0.5 % of similar projects, a high statistical anomaly.  
- Payment concentration is extreme: 100 % of payments to one vendor, which is atypical for projects of this scale.

**ML OBSERVATIONS**  
- The ML anomaly engine produced a high anomaly score (74.41) with very high confidence, indicating that the model detected patterns inconsistent with the training data for similar projects.  
- No ensemble risk level or combined anomaly score is available, but the primary engine’s signal is sufficient to trigger the flag.

**RECOMMENDED INVESTIGATION**  
- Verify the vendor’s credentials, past performance, and any prior contracts with the state.  
- Review the procurement process documents to confirm that competitive bidding or alternative sourcing was considered.  
- Cross‑check the project cost against comparable hostel construction projects in West Bengal to confirm the cost‑to‑benefit ratio.

**FINAL ASSESSMENT**  
The project exhibits a high AI risk score driven by statistical and machine‑learning anomalies, coupled with a medium financial risk due to its large expenditure. While the financial data show no overruns, the concentration of payments to a single vendor and the unusually high cost warrant a detailed audit to ensure compliance with procurement norms."
WS/MP743/2025-2026/142092,72.17,HIGH,VERY HIGH,ML Anomaly Engine,"**EXECUTIVE SUMMARY**  
The project was flagged because it shows a combination of high statistical anomaly and machine‑learning‑detected risk signals, despite a moderate financial risk score. The concentration of all payments to a single vendor and the unusually large expenditure relative to other projects in the region raise potential anomaly concerns that warrant verification.

**KEY RISK INDICATORS**  
- Expenditure in the top 0.5 % of all projects.  
- Extremely high payment concentration: 100 % of payments to one vendor.  
- Machine‑learning anomaly engine identified the project as a high‑risk case.

**WHY THE PROJECT WAS FLAGGED**  
The AI risk system flagged the project because:  
1. **Statistical anomaly** – The expenditure is among the highest 0.5 % of all projects, and all payments are concentrated with a single vendor, which is an unusual pattern.  
2. **Machine‑learning anomaly** – The ML engine, which analyzes patterns across many projects, identified this case as a high‑risk anomaly, giving the project a high overall risk score.  
3. **Financial risk** – Although the financial risk score is medium, the fact that the project expenditure is in the top 1 % adds to the overall risk profile.

**FINANCIAL OBSERVATIONS**  
- The recommended, sanctioned, and total expenditure are all equal at ₹3,993,140, indicating no cost overruns.  
- Two payments were made to a single vendor, which is a potential anomaly because payment concentration can signal limited competition or vendor favoritism.  
- The financial risk level is medium, driven mainly by the high expenditure relative to other projects.

**STATISTICAL OBSERVATIONS**  
- The project’s cost places it in the top 0.5 % of all projects, a statistically significant outlier.  
- Payment concentration is extremely high: 100 % of payments went to one vendor, which is uncommon in typical procurement patterns.  
- These factors contribute to a high statistical anomaly score of 40.

**ML OBSERVATIONS**  
- The primary risk source is the ML anomaly engine, which flagged the project as high risk.  
- No ensemble or combined anomaly scores are available, but the ML engine’s confidence is very high, indicating a strong signal from the model.

**RECOMMENDED INVESTIGATION**  
- Verify the vendor’s credentials, ownership structure, and any prior relationships with the contracting authority.  
- Review the procurement documentation to confirm that the vendor selection followed standard competitive bidding procedures.  
- Compare the project’s cost and payment schedule with similar community‑hall projects in Tamil Nadu to assess whether the expenditure is justified.

**FINAL ASSESSMENT**  
The project exhibits a statistically significant outlier in cost and a concentrated payment pattern, which together with a high machine‑learning anomaly score suggest a potential risk indicator. While the financial risk is moderate, the combination of signals warrants a focused verification of procurement and cost justification to ensure compliance with public‑sector procurement norms."
WS/MP352/2025-2026/135862,71.43,HIGH,VERY HIGH,ML Anomaly Engine,"**EXECUTIVE SUMMARY:**  
The project received a high AI risk score (71.43) due to a combination of financial, statistical, and machine‑learning signals. Key red flags include the project’s expenditure ranking in the top 1 % and a higher-than‑expected number of payment transactions, which together triggered the ML anomaly engine.

---

**KEY RISK INDICATORS:**  
- Project expenditure among the highest 1 % of similar projects.  
- Unusually high number of payment transactions relative to the project size.  
- ML anomaly engine flagged the project as a potential risk.

---

**WHY THE PROJECT WAS FLAGGED:**  
The AI risk system integrated several data points. The financial risk score (26/100) highlighted that the total expenditure is in the top 1 % and that the payment count (5) is higher than typical for a project of this size. The statistical anomaly score (33/100) echoed these findings, noting the same two factors. Because the primary risk source is the ML anomaly engine, the system identified a pattern that deviates from the norm for similar “Normal/Others” category projects in Kerala. The high confidence level (VERY HIGH) and the activation of all four risk engines reinforce that the flagged signals are not random noise.

---

**FINANCIAL OBSERVATIONS:**  
- **Total Expenditure:** ₹2,362,903, which places the project in the top 1 % of expenditures for comparable projects.  
- **Payment Count:** 5 payments, which is higher than the average for projects of this category.  
- **Vendor Distribution:** 4 unique vendors with an average of 1.25 payments per vendor, indicating a relatively concentrated payment pattern.  
These patterns suggest a concentration of funds that may warrant closer scrutiny.

---

**STATISTICAL OBSERVATIONS:**  
- The statistical anomaly score (33) is driven by the same two factors as the financial risk: high expenditure and high payment count.  
- No other statistical outliers (e.g., payment amounts, timing) are reported, but the combination of the two factors is enough to raise a moderate anomaly flag.

---

**ML OBSERVATIONS:**  
- The ML anomaly engine identified the project as a potential risk, contributing to the overall high AI risk score.  
- Ensemble risk level and combined anomaly score are not available, but the presence of the ML flag indicates that the model detected a pattern inconsistent with the training data for similar projects.

---

**RECOMMENDED INVESTIGATION:**  
1. **Verify Payment Distribution:** Cross‑check each of the five payments against the approved budget and the project timeline to ensure they align with planned milestones.  
2. **Vendor Audit:** Review the selection process and contract terms for the four vendors to confirm compliance with procurement guidelines and to rule out any undue concentration of work.  
3. **Benchmark Comparison:** Compare the project’s expenditure and payment frequency with a sample of similar “Normal/Others” projects in Kerala to quantify how much higher the figures are and to identify any systemic differences.

---

**FINAL ASSESSMENT:**  
The project exhibits a moderate financial risk and a medium statistical anomaly, both of which are amplified by a high AI risk score driven by the ML anomaly engine. While the data do not indicate wrongdoing, the combination of high expenditure and a higher-than‑expected number of payments warrants a focused audit to confirm that all financial and procurement procedures were followed correctly."
WS/MP18019/2026-2027/139500,71.35,HIGH,VERY HIGH,ML Anomaly Engine,"**EXECUTIVE SUMMARY**  
The AI risk system flagged this community‑building project as high risk because the overall expenditure is unusually high compared with similar projects, and the machine‑learning engine identified a strong anomaly signal. The financial and statistical indicators both point to the project being in the top percentile of spending, which warrants further scrutiny.

**KEY RISK INDICATORS**  
- Project expenditure among the highest 1 % of comparable works.  
- Project expenditure among the highest 0.5 % of comparable works.  
- Machine‑learning anomaly engine identified a high‑risk signal (score 71.35).

**WHY THE PROJECT WAS FLAGGED**  
The combination of a high overall cost (Rs 1.00 Cr) relative to the recommended and sanctioned amounts, coupled with the fact that the expenditure ranks in the top 1 % financially and top 0.5 % statistically, triggered the ML anomaly engine. The engine’s high confidence (very high) and the presence of four active risk engines reinforce the flag, even though the financial and statistical risk scores are only medium.

**FINANCIAL OBSERVATIONS**  
- The total expenditure (Rs 4,998,740) is almost identical to the recommended and sanctioned amounts, indicating a near‑complete utilization of the budget.  
- Only two vendors were involved, each receiving a single payment, which is typical for a small‑scale project but still requires verification that the vendor selection process was competitive.  
- The financial risk score of 20 (medium) reflects the high expenditure relative to peers, suggesting an unusual financial pattern that merits review.

**STATISTICAL OBSERVATIONS**  
- The statistical anomaly score of 25 (medium) indicates that the project’s cost is in the top 0.5 % of similar projects, a clear statistical outlier.  
- No other statistical factors were reported, so the anomaly appears driven solely by the high expenditure figure.

**ML OBSERVATIONS**  
- The primary risk source is the ML anomaly engine, which assigned a high risk score (71.35) with very high confidence.  
- Ensemble risk level and combined anomaly score are not available, but the high individual engine score alone is sufficient to flag the project.  
- This suggests that the machine‑learning model detected patterns (e.g., cost distribution, vendor count) that deviate from the norm for projects of this type.

**RECOMMENDED INVESTIGATION**  
- **Verify vendor selection and contract terms** to ensure that the two vendors were chosen through a competitive process and that their pricing aligns with market rates.  
- **Compare cost breakdowns** with similar community‑building projects in Assam and neighboring states to confirm that the expenditure is justified.  
- **Audit payment schedule and documentation** for the two installments to confirm that funds were disbursed appropriately and that no irregularities exist in the payment process.

**FINAL ASSESSMENT**  
The project exhibits a high AI risk score driven by unusually high expenditure relative to comparable works, as confirmed by both financial and statistical indicators. While the financial and statistical risk levels are medium, the machine‑learning engine’s high confidence warrants a focused audit to verify that the project’s cost and vendor arrangements are legitimate and compliant with procurement norms."
WS/MP643/2025-2026/146319,71.17,HIGH,VERY HIGH,ML Anomaly Engine,"**EXECUTIVE SUMMARY**  
The AI risk system flagged this tin shed construction project as high risk because it shows a combination of unusually high payment activity and concentrated vendor involvement. The financial and statistical indicators point to a potential anomaly that warrants further verification.

**KEY RISK INDICATORS**  
- Extremely high number of payment transactions (18 payments for a single project).  
- High payment concentration among a small group of vendors (5 vendors, 3.6 payments each).  
- Machine‑learning anomaly engine identified the pattern as a possible risk indicator.

**WHY THE PROJECT WAS FLAGGED**  
The project’s payment pattern deviates from typical norms: a relatively modest total expenditure of ₹604,900 is spread across 18 transactions, which is unusually granular for a ₹700,000 project. The concentration of payments among only five vendors, each receiving multiple payments, further amplifies the anomaly. The ML anomaly engine, which analyzes historical transaction data, flagged this combination as a high‑risk signal, leading to the overall high AI risk score.

**FINANCIAL OBSERVATIONS**  
- The recommended and sanctioned amounts are identical (₹700,000), yet the actual expenditure is lower (₹604,900), suggesting that the remaining balance has not yet been disbursed.  
- The average payment per vendor (≈₹120,000) is high relative to the total project cost, indicating that each vendor is receiving a significant portion of the budget.  
- The high number of payments relative to the project size may reflect a fragmented payment schedule that is uncommon for similar “Normal/Others” category works.

**STATISTICAL OBSERVATIONS**  
- The statistical anomaly score of 30 (medium level) is driven by the same factors that influence the financial risk: a high number of transactions and a high concentration of payments per vendor.  
- These statistical patterns are unusual when compared to baseline data for projects of similar size and category in Madhya Pradesh.

**ML OBSERVATIONS**  
- The primary risk source is the ML anomaly engine, which has identified the payment pattern as a potential risk indicator.  
- No ensemble risk level or combined anomaly score is available, but the engine’s confidence is marked as “Very High,” indicating that the model strongly considers this pattern atypical.

**RECOMMENDED INVESTIGATION**  
- **Verify Vendor Credentials**: Obtain and review the registration, licensing, and past performance records of the five vendors to confirm legitimacy.  
- **Examine Payment Schedule**: Cross‑check the 18 payment dates and amounts against the project’s work milestones to ensure each payment aligns with completed deliverables.  
- **Benchmark Against Similar Projects**: Compare the payment frequency and vendor concentration with other tin shed construction projects in the region to assess whether this pattern is indeed anomalous.

**FINAL ASSESSMENT**  
The project exhibits a combination of financial and statistical signals that are atypical for its size and category, and the ML anomaly engine has flagged it as a high‑risk indicator. While no direct evidence of wrongdoing is present, the patterns warrant a focused audit to confirm that all payments are justified, authorized, and aligned with project milestones."
